dayoftheweek,timeoftheday,location,scheduledoncalendar,acceptedoncalendar,timescheduled,topofmindfocus
Monday,morning,home,no,no,0.00,get kids to school
Monday,afternoon,home,no,no,0.00,#projectx
Monday,evening,home,no,no,0.00,cook dinner
Monday,morning,office,no,no,0.00,meet with customer
Monday,afternoon,office,yes,no,0.00,#projectx
Monday,evening,office,yes,yes,6.00,meet with customer
Monday,afternoon,school,no,no,0.00,pick up kids
Monday,evening,school,yes,no,0.00,go to soccer game
Monday,morning,driving,yes,no,0.00,call boss
Sunday,morning,home,no,no,0.00,sleep
Sunday,afternoon,home,no,no,0.00,call mom
Sunday,evening,home,no,no,0.00,get gas
Sunday,morning,office,yes,yes,10.00,#projectx
Sunday,afternoon,office,yes,no,0.00,meet with customer
Sunday,evening,office,no,no,0.00,#projectx
Tuesday,evening,office,no,no,0.00,#projectx
Monday,morning,home,no,no,0.00,eat food
