0,dayoftheweek,timeoftheday,location,scheduledoncalendar,acceptedoncalendar,timescheduled,topofmindfocus
1,Monday,morning,home,no,no,Nan,get kids to school
2,Monday,afternoon,home,no,no,Nan,#projectx
3,Monday,evening,home,no,no,Nan,cook dinner
4,Monday,morning,office,no,no,Nan,meet with customer
5,Monday,afternoon,office,yes,no,Nan,#projectx
6,Monday,evening,office,yes,yes,6:00 PM,meet with customer
7,Monday,afternoon,school,no,no,Nan,pick up kids
8,Monday,evening,school,yes,no,Nan,go to soccer game
9,Monday,morning,driving,yes,no,Nan,call boss
10,Sunday,morning,home,no,no,Nan,sleep
11,Sunday,afternoon,home,no,no,Nan,call mom
12,Sunday,evening,home,no,no,Nan,get gas
13,Sunday,morning,office,yes,yes,10:30 AM,#projectx
14,Sunday,afternoon,office,yes,no,Nan,meet with customer
15,Sunday,evening,office,no,no,Nan,#projectx
15,Tuesday,evening,office,no,no,Nan,#projectx
